PM25,PM10,O3,CO,NO2,SO2,WS,WD,TEMP,RH
7.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.0,287,31.7,59
6.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.7,271,32.8,55
6.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,2.7,265,33.2,52
6.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,2.0,281,33.3,52
15.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,0.1,357,28.7,68
19.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,0.6,278,30.0,68
20.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.5,275,31.5,62
18.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.9,271,33.1,56
18.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,2.6,267,33.3,52
24.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.3,276,30.0,65
20.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,2.0,268,31.3,60
20.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,2.9,281,32.2,56
13.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,3.1,283,32.9,54
10.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,2.5,291,33.6,51
16.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.5,264,29.5,68
15.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,2.0,265,30.7,63
12.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,2.5,272,31.9,58
11.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,3.1,271,33.2,53
12.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,2.9,275,34.3,50
18.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.4,266,29.9,63
16.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,2.2,265,30.9,60
14.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,2.2,283,32.1,56
12.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,2.4,293,33.7,52
